index,dates,points
0,2009-10-28,5
1,2009-10-30,2
2,2009-11-01,6
3,2009-11-03,9
4,2009-11-06,4
5,2009-11-08,5
6,2009-11-10,9
7,2009-11-11,7
8,2009-11-14,8
9,2009-11-15,4
10,2009-11-17,5
11,2009-11-18,24
12,2009-11-20,25
13,2009-11-22,10
14,2009-11-24,10
15,2009-11-27,15
16,2009-11-29,5
17,2009-12-02,9
18,2009-12-04,6
19,2009-12-07,26
20,2009-12-11,6
21,2009-12-13,3
22,2009-12-14,9
23,2009-12-16,12
24,2009-12-18,14
25,2009-12-19,15
26,2009-12-22,16
27,2009-12-23,14
28,2009-12-26,8
29,2009-12-28,3
30,2009-12-29,11
31,2009-12-31,5
32,2010-01-02,3
33,2010-01-04,13
34,2010-01-06,9
35,2010-01-09,13
36,2010-01-11,7
37,2010-01-13,12
38,2010-01-15,11
39,2010-01-16,14
40,2010-01-18,11
41,2010-01-20,12
42,2010-01-22,13
43,2010-01-23,9
44,2010-01-27,8
45,2010-01-29,12
46,2010-01-31,5
47,2010-02-02,9
48,2010-02-03,5
49,2010-02-06,7
50,2010-02-09,13
51,2010-02-16,17
52,2010-02-20,14
53,2010-02-21,8
54,2010-02-23,5
55,2010-02-24,8
56,2010-02-26,6
57,2010-02-28,12
58,2010-03-02,3
59,2010-03-03,19
60,2010-03-05,17
61,2010-03-07,14
62,2010-03-10,6
63,2010-03-24,23
64,2010-03-26,6
65,2010-03-28,3
66,2010-03-30,12
67,2010-03-31,5
68,2010-04-03,11
69,2010-04-04,7
70,2010-04-06,15
71,2010-04-07,2
72,2010-04-09,2
73,2010-04-11,18
74,2010-04-12,12
75,2010-04-14,12
76,2010-10-27,6
77,2010-10-29,1
78,2010-10-31,7
79,2010-11-03,2
80,2010-11-04,7
81,2010-11-07,6
82,2010-11-10,9
83,2010-11-12,12
84,2010-11-14,14
85,2010-11-15,5
86,2010-11-17,10
87,2010-11-19,12
88,2010-11-20,23
89,2010-11-22,5
90,2010-11-24,4
91,2010-11-26,6
92,2010-11-28,10
93,2010-11-29,4
94,2010-12-01,16
95,2010-12-03,20
96,2010-12-05,12
97,2010-12-06,13
98,2010-12-08,6
99,2010-12-10,8
100,2010-12-12,19
101,2010-12-15,16
102,2010-12-17,11
103,2010-12-19,11
104,2010-12-21,13
105,2010-12-22,13
106,2010-12-25,21
107,2010-12-27,18
108,2010-12-29,11
109,2010-12-31,15
110,2011-01-01,12
111,2011-01-04,17
112,2011-01-06,7
