index,date,points,fgp
0,2009-10-28,5,1.000
1,2009-10-30,2,.167
2,2009-11-01,6,.222
3,2009-11-03,9,.333
4,2009-11-06,4,.667
5,2009-11-08,5,.400
6,2009-11-10,9,.429
7,2009-11-11,7,.375
8,2009-11-14,8,.500
9,2009-11-15,4,.000
10,2009-11-17,5,.333
11,2009-11-18,24,.500
12,2009-11-20,25,.727
13,2009-11-22,10,.133
14,2009-11-24,10,.800
15,2009-11-27,15,.857
16,2009-11-29,5,.250
17,2009-12-02,9,.429
18,2009-12-04,6,.167
19,2009-12-07,26,.462
20,2009-12-11,6,.182
21,2009-12-13,3,.333
22,2009-12-14,9,.429
23,2009-12-16,12,.333
24,2009-12-18,14,.455
25,2009-12-19,15,.455
26,2009-12-22,16,.429
27,2009-12-23,14,.333
28,2009-12-26,8,.500
29,2009-12-28,3,.000
30,2009-12-29,11,.429
31,2009-12-31,5,.400
32,2010-01-02,3,.250
33,2010-01-04,13,.455
34,2010-01-06,9,.375
35,2010-01-09,13,.429
36,2010-01-11,7,.333
37,2010-01-13,12,.600
38,2010-01-15,11,.500
39,2010-01-16,14,.444
40,2010-01-18,11,.455
41,2010-01-20,12,.455
42,2010-01-22,13,.500
43,2010-01-23,9,.125
44,2010-01-27,8,.300
45,2010-01-29,12,.500
46,2010-01-31,5,.143
47,2010-02-02,9,.333
48,2010-02-03,5,.333
49,2010-02-06,7,.375
50,2010-02-09,13,.444
51,2010-02-16,17,.714
52,2010-02-20,14,.444
53,2010-02-21,8,.500
54,2010-02-23,5,.286
55,2010-02-24,8,.429
56,2010-02-26,6,.222
57,2010-02-28,12,.500
58,2010-03-02,3,.200
59,2010-03-03,19,.375
60,2010-03-05,17,.455
61,2010-03-07,14,.500
62,2010-03-10,6,.200
63,2010-03-24,23,.600
64,2010-03-26,6,.167
65,2010-03-28,3,.200
66,2010-03-30,12,.714
67,2010-03-31,5,.500
68,2010-04-03,11,.600
69,2010-04-04,7,.500
70,2010-04-06,15,.571
71,2010-04-07,2,.143
72,2010-04-09,2,.000
73,2010-04-11,18,.636
74,2010-04-12,12,.625
75,2010-04-14,12,.444
76,2010-10-27,6,.500
77,2010-10-29,1,.000
78,2010-10-31,7,.143
79,2010-11-03,2,.143
80,2010-11-04,7,.600
81,2010-11-07,6,1.000
82,2010-11-10,9,.429
83,2010-11-12,12,.600
84,2010-11-14,14,.500
85,2010-11-15,5,.200
86,2010-11-17,10,.500
87,2010-11-19,12,.250
88,2010-11-20,23,.462
89,2010-11-22,5,.333
90,2010-11-24,4,.250
91,2010-11-26,6,.200
92,2010-11-28,10,.375
93,2010-11-29,4,.400
94,2010-12-01,16,.364
95,2010-12-03,20,.357
96,2010-12-05,12,.500
97,2010-12-06,13,.250
98,2010-12-08,6,.250
99,2010-12-10,8,.429
100,2010-12-12,19,.750
101,2010-12-15,16,.714
102,2010-12-17,11,.300
103,2010-12-19,11,.333
104,2010-12-21,13,.625
105,2010-12-22,13,.375
106,2010-12-25,21,.545
107,2010-12-27,18,.556
108,2010-12-29,11,.455
109,2010-12-31,15,.833
110,2011-01-01,12,.364
111,2011-01-04,17,.857
112,2011-01-06,7,.167
113,2011-01-08,9,.333
114,2011-01-12,8,.000
115,2011-01-13,8,.429
116,2011-01-17,9,.364
117,2011-01-19,4,.400
118,2011-01-22,7,.300
119,2011-01-24,5,.333
120,2011-01-26,13,.375
121,2011-01-28,8,.333
122,2011-01-30,5,.333
123,2011-02-02,7,.500
124,2011-02-04,13,.364
125,2011-02-05,14,.556
126,2011-02-08,13,.333
127,2011-02-12,11,.333
128,2011-02-13,8,.667
129,2011-02-15,12,.500
130,2011-02-22,19,.500
131,2011-02-23,16,.556
132,2011-02-25,16,.385
133,2011-02-27,14,.545
134,2011-03-02,20,.429
135,2011-03-04,17,.438
136,2011-03-06,26,.667
137,2011-03-07,16,.636
138,2011-03-09,11,.300
139,2011-03-11,22,.636
140,2011-03-13,16,.500
141,2011-03-14,16,.545
142,2011-03-16,12,.333
143,2011-03-18,21,.615
144,2011-03-20,23,.556
145,2011-03-23,11,.333
146,2011-03-25,13,.364
147,2011-03-27,8,.250
148,2011-03-29,14,.500
149,2011-03-30,22,.778
150,2011-04-01,21,.400
151,2011-04-02,14,.273
152,2011-04-05,13,.333
153,2011-04-06,7,.333
154,2011-04-08,14,.625
155,2011-04-10,16,.333
156,2011-04-11,12,.429
157,2011-04-13,12,.417
158,2011-12-25,19,.364
159,2011-12-26,16,.556
160,2011-12-28,20,.455
161,2011-12-29,15,.500
162,2011-12-31,10,.167
163,2012-01-02,16,.455
164,2012-01-03,23,.538
165,2012-01-06,23,.727
166,2012-01-07,16,.333
167,2012-01-08,20,.545
168,2012-01-10,10,.250
169,2012-01-11,14,.300
170,2012-01-14,24,.667
171,2012-01-16,5,.250
172,2012-01-18,13,.375
173,2012-01-21,16,.556
174,2012-01-23,24,.727
175,2012-01-25,18,.800
176,2012-01-27,19,.500
177,2012-01-30,7,.200
178,2012-02-01,10,.273
179,2012-02-03,24,.615
180,2012-02-04,19,.500
181,2012-02-06,19,.500
182,2012-02-07,19,.462
183,2012-02-09,17,.455
184,2012-02-10,11,.250
185,2012-02-14,22,.667
186,2012-02-15,17,.462
187,2012-02-17,25,.615
188,2012-02-19,10,.167
189,2012-02-22,17,.600
190,2012-02-23,16,.600
191,2012-02-29,16,.444
192,2012-03-01,13,.625
193,2012-03-03,10,.500
194,2012-03-05,16,.364
195,2012-03-07,30,.667
196,2012-03-09,15,.500
197,2012-03-10,33,.688
198,2012-03-13,16,.417
199,2012-03-15,18,.545
200,2012-03-16,19,.727
201,2012-03-18,14,.143
202,2012-03-20,17,.455
203,2012-03-21,10,.375
204,2012-03-23,25,.588
205,2012-03-25,19,.857
206,2012-03-27,21,.857
207,2012-03-29,9,.273
208,2012-04-01,11,.429
209,2012-04-02,14,.556
210,2012-04-04,12,.455
211,2012-04-06,10,.200
212,2012-04-08,17,.500
213,2012-04-09,16,.571
214,2012-04-11,17,.500
215,2012-04-14,6,.091
216,2012-04-16,12,.400
217,2012-04-18,40,.706
218,2012-04-20,20,.500
219,2012-04-22,14,.714
220,2012-10-31,37,.560
221,2012-11-02,45,.737
222,2012-11-03,24,.333
223,2012-11-07,15,.333
224,2012-11-09,18,.222
225,2012-11-10,20,.429
226,2012-11-12,22,.353
227,2012-11-14,30,.500
228,2012-11-16,29,.444
229,2012-11-18,20,.389
230,2012-11-19,6,.167
231,2012-11-21,28,.571
232,2012-11-23,33,.467
233,2012-11-27,24,.474
234,2012-11-28,17,.188
235,2012-12-01,18,.438
236,2012-12-04,15,.158
237,2012-12-07,29,.625
238,2012-12-08,39,.588
239,2012-12-12,31,.500
240,2012-12-14,21,.353
241,2012-12-16,28,.389
242,2012-12-17,28,.500
243,2012-12-19,33,.583
244,2012-12-22,31,.692
245,2012-12-25,26,.538
246,2012-12-26,30,.500
247,2012-12-28,33,.455
248,2012-12-29,25,.353
249,2012-12-31,28,.412
250,2013-01-02,31,.478
251,2013-01-04,29,.611
252,2013-01-05,29,.353
253,2013-01-08,31,.579
254,2013-01-09,25,.500
255,2013-01-11,24,.474
256,2013-01-12,29,.526
257,2013-01-15,23,.400
258,2013-01-16,20,.217
259,2013-01-18,17,.263
260,2013-01-19,18,.278
261,2013-01-21,29,.250
262,2013-01-23,23,.471
263,2013-01-25,30,.533
264,2013-01-26,29,.467
265,2013-01-28,25,.533
266,2013-01-30,21,.462
267,2013-02-02,21,.545
268,2013-02-05,18,.455
269,2013-02-06,36,.625
270,2013-02-08,35,.813
271,2013-02-10,30,.500
272,2013-02-12,27,.318
273,2013-02-20,46,.737
274,2013-02-22,22,.500
275,2013-02-23,27,.435
276,2013-02-27,25,.444
277,2013-03-01,24,.389
278,2013-03-03,21,.500
279,2013-03-06,28,.294
280,2013-03-08,20,.176
281,2013-03-09,38,.647
282,2013-03-13,18,.571
283,2013-03-15,37,.500
284,2013-03-17,21,.375
285,2013-03-20,29,.357
286,2013-03-22,20,.556
287,2013-03-24,29,.375
288,2013-03-27,22,.250
289,2013-03-29,7,.333
290,2013-04-03,21,.368
291,2013-04-05,33,.524
292,2013-04-06,14,.200
293,2013-04-09,33,.429
294,2013-04-12,30,.292
295,2013-04-14,29,.688
296,2013-04-15,16,.278
297,2013-04-17,30,.320
298,2013-10-30,21,.438
299,2013-11-01,34,.647
300,2013-11-02,23,.467
301,2013-11-04,15,.375
302,2013-11-05,33,.611
303,2013-11-07,35,.375
304,2013-11-09,12,.267
305,2013-11-11,26,.368
306,2013-11-14,36,.529
307,2013-11-16,17,.313
308,2013-11-19,15,.625
309,2013-11-20,23,.429
310,2013-11-29,9,.250
311,2013-11-30,31,.526
312,2013-12-02,37,.545
313,2013-12-04,14,.176
314,2013-12-06,34,.591
315,2013-12-08,27,.412
316,2013-12-12,25,.444
317,2013-12-13,26,.409
318,2013-12-15,25,.444
319,2013-12-18,19,.538
320,2013-12-20,12,.214
321,2013-12-25,28,.688
322,2013-12-26,27,.222
323,2013-12-28,21,.412
324,2013-12-29,8,.222
325,2013-12-31,38,.462
326,2014-01-03,37,.526
327,2014-01-08,38,.609
328,2014-01-10,25,.429
329,2014-01-11,25,.500
330,2014-01-13,16,.333
331,2014-01-15,26,.500
332,2014-01-16,16,.375
333,2014-01-18,22,.438
334,2014-01-20,22,.467
335,2014-01-22,24,.438
336,2014-01-24,10,.182
337,2014-01-25,16,.462
338,2014-02-01,28,.588
339,2014-02-05,23,.400
340,2014-02-08,22,.429
341,2014-02-10,19,.286
342,2014-02-12,35,.571
343,2014-02-19,29,.556
344,2014-02-20,39,.519
345,2014-02-23,23,.400
346,2014-02-25,43,.550
347,2014-02-26,18,.375
348,2014-03-01,20,.438
349,2014-03-04,21,.600
350,2014-03-05,31,.579
351,2014-03-07,28,.588
352,2014-03-09,41,.429
353,2014-03-11,28,.429
354,2014-03-13,8,.286
355,2014-03-16,30,.438
356,2014-03-17,15,.500
357,2014-03-20,28,.563
358,2014-03-22,37,.600
359,2014-03-24,31,.579
360,2014-03-27,26,.529
361,2014-03-29,32,.409
362,2014-04-01,26,.400
363,2014-04-02,26,.412
364,2014-04-04,39,.409
365,2014-04-06,32,.391
366,2014-04-08,33,.667
367,2014-04-09,10,.111
368,2014-04-11,33,.500
369,2014-04-12,33,.455
370,2014-04-14,16,.250
371,2014-10-28,32,.412
372,2014-10-29,18,.333
373,2014-11-01,26,.357
374,2014-11-03,35,.389
375,2014-11-04,25,.462
376,2014-11-06,20,.533
377,2014-11-08,22,.333
378,2014-11-12,23,.348
379,2014-11-14,35,.417
380,2014-11-16,19,.294
381,2014-11-17,6,.125
382,2014-11-19,24,.636
383,2014-11-22,32,.444
384,2014-11-24,36,.500
385,2014-11-26,26,.323
386,2014-11-28,16,.417
387,2014-11-29,34,.643
388,2014-12-03,21,.545
389,2014-12-05,38,.647
390,2014-12-06,15,.238
391,2014-12-10,34,.519
392,2014-12-11,44,.438
393,2014-12-13,24,.350
394,2014-12-17,41,.524
395,2014-12-18,21,.348
396,2014-12-20,18,.313
397,2014-12-22,44,.538
398,2014-12-26,32,.588
399,2014-12-28,28,.556
400,2014-12-29,33,.522
401,2014-12-31,36,.632
402,2015-01-02,11,.385
403,2015-01-03,28,.529
404,2015-01-05,20,.318
405,2015-01-07,21,.333
406,2015-01-08,25,.471
407,2015-01-10,30,.571
408,2015-01-12,30,.692
409,2015-01-14,26,.625
410,2015-01-15,31,.600
411,2015-01-17,12,.267
412,2015-01-19,45,.667
413,2015-01-21,33,.444
414,2015-01-23,33,.444
415,2015-01-25,37,.600
416,2015-01-28,17,.500
417,2015-01-30,14,.190
418,2015-01-31,26,.588
419,2015-02-04,27,.450
420,2015-02-06,33,.643
421,2015-02-08,45,.440
422,2015-02-10,40,.565
423,2015-02-11,9,.250
424,2015-02-20,26,.429
425,2015-02-21,20,.417
426,2015-02-23,31,.350
427,2015-02-25,21,.308
428,2015-02-27,15,.267
429,2015-03-01,33,.444
430,2015-03-04,18,.438
431,2015-03-06,38,.476
432,2015-03-07,28,.421
433,2015-03-11,18,.368
434,2015-03-12,15,.231
435,2015-03-15,34,.438
436,2015-03-17,17,.286
437,2015-03-19,50,.444
438,2015-03-21,16,.263
439,2015-03-23,44,.476
440,2015-03-25,25,.450
441,2015-03-27,33,.474
442,2015-03-29,24,.350
443,2015-03-30,31,.409
444,2015-04-01,51,.640
445,2015-04-02,24,.400
446,2015-04-05,41,.545
447,2015-04-08,22,.400
448,2015-04-10,16,.263
449,2015-04-12,30,.556
