index,dates,points
0,1984-10-26,16
1,1984-10-27,21
2,1984-10-29,37
3,1984-10-30,25
4,1984-11-01,17
5,1984-11-07,25
6,1984-11-08,33
7,1984-11-10,27
8,1984-11-13,45
9,1984-11-15,27
10,1984-11-17,16
11,1984-11-19,34
12,1984-11-21,35
13,1984-11-23,23
14,1984-11-24,30
15,1984-11-27,13
16,1984-11-29,22
17,1984-11-30,20
18,1984-12-02,20
19,1984-12-04,20
20,1984-12-07,21
21,1984-12-08,20
22,1984-12-11,27
23,1984-12-12,21
24,1984-12-14,34
25,1984-12-15,14
26,1984-12-18,18
27,1984-12-20,34
28,1984-12-22,32
29,1984-12-27,45
30,1984-12-29,21
31,1985-01-02,25
32,1985-01-04,22
33,1985-01-05,42
34,1985-01-09,36
35,1985-01-11,23
36,1985-01-12,24
37,1985-01-14,35
38,1985-01-16,27
39,1985-01-17,25
40,1985-01-19,38
41,1985-01-22,29
42,1985-01-25,22
43,1985-01-26,45
44,1985-01-29,26
45,1985-01-30,38
46,1985-02-01,31
47,1985-02-05,41
48,1985-02-07,23
49,1985-02-12,49
50,1985-02-15,17
51,1985-02-17,26
52,1985-02-19,16
53,1985-02-22,26
54,1985-02-23,38
55,1985-02-26,28
56,1985-02-27,24
57,1985-03-01,21
58,1985-03-03,37
59,1985-03-05,37
60,1985-03-06,33
61,1985-03-08,26
62,1985-03-09,28
63,1985-03-11,21
64,1985-03-12,32
65,1985-03-14,16
66,1985-03-15,27
67,1985-03-17,32
68,1985-03-19,31
69,1985-03-20,38
70,1985-03-23,20
71,1985-03-24,26
72,1985-03-26,38
73,1985-03-28,35
74,1985-03-30,38
75,1985-04-02,31
76,1985-04-03,25
77,1985-04-05,40
78,1985-04-06,33
79,1985-04-08,22
80,1985-04-12,28
81,1985-04-13,29
82,1985-10-25,29
83,1985-10-26,33
84,1985-10-29,12
85,1986-03-15,12
86,1986-03-17,17
87,1986-03-19,12
88,1986-03-21,20
89,1986-03-22,8
90,1986-03-25,19
91,1986-03-28,22
92,1986-03-29,24
93,1986-04-01,28
94,1986-04-03,26
95,1986-04-05,30
96,1986-04-07,26
97,1986-04-08,30
98,1986-04-11,31
99,1986-04-13,29
100,1986-11-01,50
101,1986-11-02,41
102,1986-11-04,34
103,1986-11-07,33
104,1986-11-08,39
105,1986-11-11,34
106,1986-11-12,28
107,1986-11-14,48
108,1986-11-21,40
109,1986-11-22,22
110,1986-11-26,37
111,1986-11-28,41
112,1986-11-29,40
113,1986-12-02,40
114,1986-12-03,45
115,1986-12-05,43
116,1986-12-06,43
117,1986-12-09,40
118,1986-12-10,41
119,1986-12-12,41
120,1986-12-13,11
121,1986-12-16,41
122,1986-12-18,41
123,1986-12-20,27
124,1986-12-23,43
125,1986-12-25,30
126,1986-12-27,44
127,1986-12-30,31
128,1987-01-02,34
129,1987-01-03,47
130,1987-01-06,27
131,1987-01-08,53
132,1987-01-10,31
133,1987-01-15,43
134,1987-01-17,47
135,1987-01-19,32
136,1987-01-20,31
137,1987-01-23,35
138,1987-01-24,27
139,1987-01-27,30
140,1987-01-28,27
141,1987-01-30,49
142,1987-02-01,38
143,1987-02-03,32
144,1987-02-05,36
145,1987-02-10,29
146,1987-02-13,45
147,1987-02-14,33
