index,date,points,fgp
0,1984-10-26,16,.313
1,1984-10-27,21,.615
2,1984-10-29,37,.542
3,1984-10-30,25,.381
4,1984-11-01,17,.467
5,1984-11-07,25,.474
6,1984-11-08,33,.682
7,1984-11-10,27,.409
8,1984-11-13,45,.667
9,1984-11-15,27,.500
10,1984-11-17,16,.235
11,1984-11-19,34,.423
12,1984-11-21,35,.500
13,1984-11-23,23,.692
14,1984-11-24,30,.417
15,1984-11-27,13,.600
16,1984-11-29,22,.529
17,1984-11-30,20,.600
18,1984-12-02,20,.538
19,1984-12-04,20,.538
20,1984-12-07,21,.500
21,1984-12-08,20,.435
22,1984-12-11,27,.464
23,1984-12-12,21,.353
24,1984-12-14,34,.480
25,1984-12-15,14,.438
26,1984-12-18,18,.400
27,1984-12-20,34,.545
28,1984-12-22,32,.667
29,1984-12-27,45,.606
30,1984-12-29,21,.389
31,1985-01-02,25,.714
32,1985-01-04,22,.563
33,1985-01-05,42,.640
34,1985-01-09,36,.500
35,1985-01-11,23,.571
36,1985-01-12,24,.476
37,1985-01-14,35,.688
38,1985-01-16,27,.471
39,1985-01-17,25,.400
40,1985-01-19,38,.556
41,1985-01-22,29,.550
42,1985-01-25,22,.400
43,1985-01-26,45,.708
44,1985-01-29,26,.647
45,1985-01-30,38,.632
46,1985-02-01,31,.563
47,1985-02-05,41,.560
48,1985-02-07,23,.471
49,1985-02-12,49,.613
50,1985-02-15,17,.400
51,1985-02-17,26,.600
52,1985-02-19,16,.462
53,1985-02-22,26,.444
54,1985-02-23,38,.750
55,1985-02-26,28,.444
56,1985-02-27,24,.471
57,1985-03-01,21,.400
58,1985-03-03,37,.619
59,1985-03-05,37,.522
60,1985-03-06,33,.464
61,1985-03-08,26,.538
62,1985-03-09,28,.429
63,1985-03-11,21,.429
64,1985-03-12,32,.458
65,1985-03-14,16,.278
66,1985-03-15,27,.733
67,1985-03-17,32,.440
68,1985-03-19,31,.500
69,1985-03-20,38,.609
70,1985-03-23,20,.294
71,1985-03-24,26,.375
72,1985-03-26,38,.542
73,1985-03-28,35,.440
74,1985-03-30,38,.684
75,1985-04-02,31,.632
76,1985-04-03,25,.632
77,1985-04-05,40,.619
78,1985-04-06,33,.667
79,1985-04-08,22,.300
80,1985-04-12,28,.688
81,1985-04-13,29,.375
82,1985-10-25,29,.500
83,1985-10-26,33,.375
84,1985-10-29,12,.600
85,1986-03-15,12,.571
86,1986-03-17,17,.250
87,1986-03-19,12,.286
88,1986-03-21,20,.438
89,1986-03-22,8,.308
90,1986-03-25,19,.417
91,1986-03-28,22,.600
92,1986-03-29,24,.588
93,1986-04-01,28,.500
94,1986-04-03,26,.632
95,1986-04-05,30,.476
96,1986-04-07,26,.556
97,1986-04-08,30,.480
98,1986-04-11,31,.333
99,1986-04-13,29,.478
100,1986-11-01,50,.484
101,1986-11-02,41,.516
102,1986-11-04,34,.452
103,1986-11-07,33,.423
104,1986-11-08,39,.630
105,1986-11-11,34,.438
106,1986-11-12,28,.360
107,1986-11-14,48,.515
108,1986-11-21,40,.538
109,1986-11-22,22,.385
110,1986-11-26,37,.419
111,1986-11-28,41,.442
112,1986-11-29,40,.367
113,1986-12-02,40,.433
114,1986-12-03,45,.515
115,1986-12-05,43,.405
116,1986-12-06,43,.474
117,1986-12-09,40,.533
118,1986-12-10,41,.600
119,1986-12-12,41,.667
120,1986-12-13,11,.176
121,1986-12-16,41,.448
122,1986-12-18,41,.556
123,1986-12-20,27,.385
124,1986-12-23,43,.545
125,1986-12-25,30,.357
126,1986-12-27,44,.690
127,1986-12-30,31,.444
128,1987-01-02,34,.419
129,1987-01-03,47,.457
130,1987-01-06,27,.565
131,1987-01-08,53,.588
132,1987-01-10,31,.333
133,1987-01-15,43,.395
134,1987-01-17,47,.500
135,1987-01-19,32,.440
136,1987-01-20,31,.500
137,1987-01-23,35,.500
138,1987-01-24,27,.550
139,1987-01-27,30,.382
140,1987-01-28,27,.478
141,1987-01-30,49,.543
142,1987-02-01,38,.359
143,1987-02-03,32,.429
144,1987-02-05,36,.500
145,1987-02-10,29,.500
146,1987-02-13,45,.500
147,1987-02-14,33,.625
148,1987-02-16,43,.433
149,1987-02-20,33,.407
150,1987-02-22,43,.552
151,1987-02-24,34,.455
152,1987-02-26,58,.640
153,1987-02-28,37,.393
154,1987-03-01,30,.435
155,1987-03-03,30,.647
156,1987-03-04,61,.564
157,1987-03-06,27,.417
158,1987-03-08,33,.393
159,1987-03-09,31,.462
160,1987-03-11,49,.559
161,1987-03-13,24,.318
162,1987-03-14,13,.250
163,1987-03-16,44,.536
164,1987-03-17,21,.333
165,1987-03-19,40,.609
166,1987-03-21,40,.520
167,1987-03-22,46,.538
168,1987-03-24,56,.688
169,1987-03-26,40,.467
170,1987-03-27,22,.391
171,1987-03-29,33,.542
172,1987-03-31,36,.667
173,1987-04-01,26,.400
174,1987-04-03,32,.591
175,1987-04-04,31,.375
176,1987-04-07,39,.619
177,1987-04-10,34,.355
178,1987-04-12,53,.704
179,1987-04-13,50,.516
180,1987-04-16,61,.579
181,1987-04-17,17,.333
182,1987-11-07,36,.600
183,1987-11-10,29,.478
184,1987-11-11,31,.500
185,1987-11-13,36,.526
186,1987-11-14,37,.483
187,1987-11-17,26,.556
188,1987-11-18,30,.429
189,1987-11-20,33,.455
190,1987-11-21,49,.447
191,1987-11-23,31,.462
192,1987-11-25,33,.542
193,1987-11-27,25,.400
194,1987-11-28,34,.545
195,1987-12-01,16,.400
196,1987-12-02,47,.630
197,1987-12-04,23,.600
198,1987-12-05,40,.682
199,1987-12-08,33,.538
200,1987-12-10,32,.611
201,1987-12-12,44,.571
202,1987-12-15,38,.462
203,1987-12-17,52,.645
204,1987-12-19,30,.522
205,1987-12-22,28,.550
206,1987-12-23,16,.333
207,1987-12-26,17,.273
208,1987-12-29,39,.432
209,1988-01-02,25,.474
210,1988-01-05,31,.600
211,1988-01-07,28,.500
212,1988-01-09,45,.739
213,1988-01-12,42,.543
214,1988-01-14,28,.500
215,1988-01-16,36,.462
216,1988-01-18,33,.684
217,1988-01-19,38,.636
218,1988-01-22,42,.680
219,1988-01-23,36,.684
220,1988-01-26,34,.500
221,1988-01-27,37,.571
222,1988-01-29,32,.778
223,1988-01-30,28,.588
224,1988-02-01,37,.419
225,1988-02-02,39,.538
226,1988-02-04,37,.519
227,1988-02-09,20,.318
228,1988-02-10,34,.435
229,1988-02-12,27,.474
230,1988-02-13,27,.409
231,1988-02-15,32,.591
232,1988-02-19,49,.704
233,1988-02-21,46,.516
234,1988-02-23,39,.379
235,1988-02-26,52,.618
236,1988-02-27,38,.593
237,1988-02-29,35,.591
238,1988-03-03,36,.517
239,1988-03-05,21,.692
240,1988-03-07,38,.500
241,1988-03-10,38,.500
242,1988-03-12,28,.409
243,1988-03-15,38,.586
244,1988-03-16,25,.435
245,1988-03-18,50,.594
246,1988-03-20,26,.556
247,1988-03-23,49,.571
248,1988-03-25,39,.483
249,1988-03-26,38,.593
250,1988-03-29,26,.471
251,1988-03-30,36,.600
252,1988-04-01,38,.433
253,1988-04-03,59,.778
254,1988-04-05,29,.600
255,1988-04-06,37,.545
256,1988-04-08,40,.542
257,1988-04-14,35,.429
258,1988-04-15,28,.550
259,1988-04-17,44,.586
260,1988-04-19,47,.667
261,1988-04-21,39,.515
262,1988-04-22,26,.462
263,1988-04-24,46,.640
264,1988-11-04,28,.526
265,1988-11-05,29,.429
266,1988-11-08,31,.619
267,1988-11-09,52,.545
268,1988-11-11,36,.583
269,1988-11-12,42,.548
270,1988-11-15,33,.519
271,1988-11-16,52,.828
272,1988-11-18,34,.571
273,1988-11-22,32,.800
274,1988-11-23,26,.467
275,1988-11-26,52,.704
276,1988-11-29,26,.458
277,1988-11-30,33,.440
278,1988-12-03,39,.516
279,1988-12-06,38,.700
280,1988-12-07,18,.250
281,1988-12-09,35,.588
282,1988-12-10,38,.560
283,1988-12-13,28,.458
284,1988-12-16,28,.455
285,1988-12-17,36,.480
286,1988-12-20,42,.478
287,1988-12-23,33,.538
288,1988-12-27,43,.600
289,1988-12-29,37,.519
290,1988-12-30,31,.500
291,1989-01-03,41,.500
292,1989-01-05,32,.542
293,1989-01-06,27,.571
294,1989-01-10,48,.586
295,1989-01-11,24,.467
296,1989-01-13,38,.542
297,1989-01-15,42,.565
298,1989-01-17,22,.556
299,1989-01-19,34,.560
300,1989-01-21,53,.714
301,1989-01-24,24,.500
302,1989-01-25,33,.560
303,1989-01-27,33,.560
304,1989-01-31,21,.292
305,1989-02-02,40,.714
306,1989-02-03,29,.417
307,1989-02-05,28,.556
308,1989-02-07,32,.550
309,1989-02-09,23,.450
310,1989-02-14,32,.786
311,1989-02-16,50,.615
312,1989-02-19,23,.474
313,1989-02-20,33,.591
314,1989-02-22,24,.714
315,1989-02-24,33,.556
316,1989-02-25,18,.583
317,1989-02-28,24,.688
318,1989-03-03,28,.556
319,1989-03-04,28,.625
320,1989-03-07,34,.556
321,1989-03-11,18,.615
322,1989-03-13,21,.467
323,1989-03-15,28,.545
324,1989-03-17,33,.563
325,1989-03-18,28,.458
326,1989-03-21,21,.350
327,1989-03-22,32,.500
328,1989-03-24,34,.500
329,1989-03-25,21,.444
330,1989-03-28,33,.542
331,1989-03-29,32,.474
332,1989-03-31,37,.517
333,1989-04-02,27,.478
334,1989-04-04,33,.667
335,1989-04-06,31,.478
336,1989-04-07,40,.611
337,1989-04-09,40,.448
338,1989-04-13,47,.567
339,1989-04-14,29,.444
340,1989-04-16,22,.571
341,1989-04-17,34,.524
342,1989-04-20,30,.450
343,1989-04-21,34,.419
344,1989-04-23,25,.474
345,1989-11-03,54,.613
346,1989-11-04,24,.556
347,1989-11-07,40,.542
348,1989-11-08,45,.625
349,1989-11-10,26,.364
350,1989-11-11,25,.533
351,1989-11-14,27,.440
352,1989-11-15,40,.462
353,1989-11-18,32,.462
354,1989-11-21,16,.385
355,1989-11-22,34,.400
356,1989-11-25,29,.414
357,1989-11-26,26,.500
358,1989-11-28,22,.533
359,1989-12-02,36,.688
360,1989-12-05,35,.556
361,1989-12-08,36,.560
362,1989-12-09,29,.619
363,1989-12-12,41,.621
364,1989-12-14,38,.700
365,1989-12-16,33,.464
366,1989-12-19,37,.517
367,1989-12-20,52,.541
368,1989-12-22,29,.588
369,1989-12-23,16,.385
370,1989-12-26,28,.706
371,1989-12-29,34,.385
372,1989-12-30,28,.500
373,1990-01-03,38,.469
374,1990-01-05,43,.613
375,1990-01-06,35,.565
376,1990-01-09,16,.353
377,1990-01-10,35,.433
378,1990-01-12,45,.679
379,1990-01-13,28,.524
380,1990-01-15,26,.375
381,1990-01-18,44,.567
382,1990-01-19,36,.500
383,1990-01-21,42,.588
384,1990-01-23,32,.355
385,1990-01-26,31,.444
