index,date,points,fgp,result
0,1984-10-26,16,.313,W (+16)
1,1984-10-27,21,.615,L (-2)
2,1984-10-29,37,.542,W (+6)
3,1984-10-30,25,.381,W (+5)
4,1984-11-01,17,.467,L (-16)
5,1984-11-07,25,.474,W (+4)
6,1984-11-08,33,.682,W (+15)
7,1984-11-10,27,.409,W (+2)
8,1984-11-13,45,.667,W (+3)
9,1984-11-15,27,.500,L (-20)
10,1984-11-17,16,.235,L (-9)
11,1984-11-19,34,.423,L (-17)
12,1984-11-21,35,.500,L (-10)
13,1984-11-23,23,.692,W (+19)
14,1984-11-24,30,.417,L (-10)
15,1984-11-27,13,.600,L (-6)
16,1984-11-29,22,.529,L (-5)
17,1984-11-30,20,.600,W (+4)
18,1984-12-02,20,.538,W (+1)
19,1984-12-04,20,.538,W (+15)
20,1984-12-07,21,.500,W (+2)
21,1984-12-08,20,.435,W (+2)
22,1984-12-11,27,.464,L (-7)
23,1984-12-12,21,.353,L (-7)
24,1984-12-14,34,.480,L (-2)
25,1984-12-15,14,.438,L (-12)
26,1984-12-18,18,.400,L (-8)
27,1984-12-20,34,.545,W (+3)
28,1984-12-22,32,.667,W (+25)
29,1984-12-27,45,.606,W (+4)
30,1984-12-29,21,.389,L (-3)
31,1985-01-02,25,.714,L (-14)
32,1985-01-04,22,.563,W (+5)
33,1985-01-05,42,.640,L (-6)
34,1985-01-09,36,.500,L (-3)
35,1985-01-11,23,.571,W (+16)
36,1985-01-12,24,.476,L (-3)
37,1985-01-14,35,.688,W (+9)
38,1985-01-16,27,.471,L (-6)
39,1985-01-17,25,.400,W (+5)
40,1985-01-19,38,.556,L (-3)
41,1985-01-22,29,.550,W (+8)
42,1985-01-25,22,.400,W (+17)
43,1985-01-26,45,.708,W (+13)
44,1985-01-29,26,.647,W (+6)
45,1985-01-30,38,.632,L (-11)
46,1985-02-01,31,.563,L (-11)
47,1985-02-05,41,.560,L (-4)
48,1985-02-07,23,.471,L (-9)
49,1985-02-12,49,.613,W (+13)
50,1985-02-15,17,.400,L (-18)
51,1985-02-17,26,.600,L (-20)
52,1985-02-19,16,.462,L (-10)
53,1985-02-22,26,.444,L (-10)
54,1985-02-23,38,.750,W (+15)
55,1985-02-26,28,.444,L (-5)
56,1985-02-27,24,.471,L (-9)
57,1985-03-01,21,.400,W (+5)
58,1985-03-03,37,.619,L (-4)
59,1985-03-05,37,.522,W (+5)
60,1985-03-06,33,.464,W (+3)
61,1985-03-08,26,.538,W (+16)
62,1985-03-09,28,.429,L (-6)
63,1985-03-11,21,.429,L (-7)
64,1985-03-12,32,.458,W (+1)
65,1985-03-14,16,.278,L (-9)
66,1985-03-15,27,.733,W (+6)
67,1985-03-17,32,.440,W (+2)
68,1985-03-19,31,.500,L (-6)
69,1985-03-20,38,.609,L (-8)
70,1985-03-23,20,.294,W (+10)
71,1985-03-24,26,.375,L (-18)
72,1985-03-26,38,.542,W (+1)
73,1985-03-28,35,.440,L (-8)
74,1985-03-30,38,.684,L (-5)
75,1985-04-02,31,.632,W (+14)
76,1985-04-03,25,.632,W (+9)
77,1985-04-05,40,.619,L (-3)
78,1985-04-06,33,.667,W (+3)
79,1985-04-08,22,.300,L (-4)
80,1985-04-12,28,.688,L (-11)
81,1985-04-13,29,.375,L (-12)
82,1985-10-25,29,.500,W (+1)
83,1985-10-26,33,.375,W (+3)
84,1985-10-29,12,.600,W (+6)
85,1986-03-15,12,.571,L (-9)
86,1986-03-17,17,.250,L (-10)
87,1986-03-19,12,.286,L (-6)
88,1986-03-21,20,.438,L (-21)
89,1986-03-22,8,.308,L (-26)
90,1986-03-25,19,.417,W (+13)
91,1986-03-28,22,.600,L (-11)
92,1986-03-29,24,.588,W (+10)
93,1986-04-01,28,.500,L (-9)
94,1986-04-03,26,.632,W (+1)
95,1986-04-05,30,.476,W (+5)
96,1986-04-07,26,.556,W (+6)
97,1986-04-08,30,.480,L (-13)
98,1986-04-11,31,.333,W (+2)
99,1986-04-13,29,.478,L (-7)
100,1986-11-01,50,.484,W (+5)
101,1986-11-02,41,.516,W (+5)
102,1986-11-04,34,.452,W (+7)
103,1986-11-07,33,.423,L (-6)
104,1986-11-08,39,.630,W (+5)
105,1986-11-11,34,.438,W (+2)
106,1986-11-12,28,.360,L (-2)
107,1986-11-14,48,.515,L (-12)
108,1986-11-21,40,.538,W (+2)
109,1986-11-22,22,.385,W (+9)
110,1986-11-26,37,.419,L (-2)
111,1986-11-28,41,.442,L (-7)
112,1986-11-29,40,.367,L (-7)
113,1986-12-02,40,.433,W (+6)
114,1986-12-03,45,.515,L (-5)
115,1986-12-05,43,.405,L (-2)
116,1986-12-06,43,.474,L (-9)
117,1986-12-09,40,.533,W (+6)
118,1986-12-10,41,.600,L (-28)
119,1986-12-12,41,.667,W (+13)
120,1986-12-13,11,.176,L (-23)
121,1986-12-16,41,.448,W (+1)
122,1986-12-18,41,.556,W (+9)
123,1986-12-20,27,.385,L (-2)
124,1986-12-23,43,.545,W (+16)
125,1986-12-25,30,.357,L (-1)
126,1986-12-27,44,.690,W (+12)
127,1986-12-30,31,.444,L (-3)
128,1987-01-02,34,.419,L (-14)
129,1987-01-03,47,.457,W (+5)
130,1987-01-06,27,.565,W (+4)
131,1987-01-08,53,.588,W (+4)
132,1987-01-10,31,.333,W (+10)
133,1987-01-15,43,.395,L (-11)
134,1987-01-17,47,.500,W (+16)
135,1987-01-19,32,.440,L (-14)
136,1987-01-20,31,.500,W (+13)
137,1987-01-23,35,.500,W (+21)
138,1987-01-24,27,.550,L (-30)
139,1987-01-27,30,.382,L (-8)
140,1987-01-28,27,.478,L (-29)
141,1987-01-30,49,.543,L (-9)
142,1987-02-01,38,.359,L (-2)
143,1987-02-03,32,.429,W (+7)
144,1987-02-05,36,.500,L (-15)
145,1987-02-10,29,.500,W (+5)
146,1987-02-13,45,.500,W (+8)
147,1987-02-14,33,.625,W (+4)
148,1987-02-16,43,.433,L (-4)
149,1987-02-20,33,.407,L (-10)
150,1987-02-22,43,.552,W (+4)
151,1987-02-24,34,.455,W (+10)
152,1987-02-26,58,.640,W (+15)
153,1987-02-28,37,.393,W (+3)
154,1987-03-01,30,.435,L (-10)
155,1987-03-03,30,.647,W (+34)
156,1987-03-04,61,.564,W (+5)
157,1987-03-06,27,.417,L (-1)
158,1987-03-08,33,.393,W (+10)
159,1987-03-09,31,.462,L (-5)
160,1987-03-11,49,.559,L (-9)
161,1987-03-13,24,.318,L (-1)
162,1987-03-14,13,.250,L (-1)
163,1987-03-16,44,.536,L (-1)
164,1987-03-17,21,.333,L (-18)
165,1987-03-19,40,.609,W (+17)
166,1987-03-21,40,.520,W (+15)
167,1987-03-22,46,.538,L (-2)
168,1987-03-24,56,.688,W (+2)
169,1987-03-26,40,.467,L (-2)
170,1987-03-27,22,.391,L (-5)
171,1987-03-29,33,.542,W (+19)
172,1987-03-31,36,.667,W (+26)
173,1987-04-01,26,.400,L (-5)
174,1987-04-03,32,.591,L (-4)
175,1987-04-04,31,.375,L (-13)
176,1987-04-07,39,.619,W (+30)
177,1987-04-10,34,.355,L (-2)
178,1987-04-12,53,.704,W (+21)
179,1987-04-13,50,.516,W (+7)
180,1987-04-16,61,.579,L (-3)
181,1987-04-17,17,.333,L (-3)
182,1987-11-07,36,.600,W (+10)
183,1987-11-10,29,.478,W (+10)
184,1987-11-11,31,.500,W (+9)
185,1987-11-13,36,.526,W (+18)
186,1987-11-14,37,.483,L (-1)
187,1987-11-17,26,.556,W (+4)
188,1987-11-18,30,.429,W (+2)
189,1987-11-20,33,.455,W (+2)
190,1987-11-21,49,.447,L (-12)
191,1987-11-23,31,.462,W (+5)
192,1987-11-25,33,.542,W (+2)
193,1987-11-27,25,.400,L (-1)
194,1987-11-28,34,.545,W (+12)
195,1987-12-01,16,.400,W (+1)
196,1987-12-02,47,.630,W (+4)
197,1987-12-04,23,.600,L (-16)
198,1987-12-05,40,.682,L (-9)
199,1987-12-08,33,.538,L (-13)
200,1987-12-10,32,.611,W (+6)
201,1987-12-12,44,.571,W (+9)
202,1987-12-15,38,.462,L (-4)
203,1987-12-17,52,.645,W (+11)
204,1987-12-19,30,.522,L (-13)
205,1987-12-22,28,.550,L (-11)
206,1987-12-23,16,.333,L (-1)
207,1987-12-26,17,.273,L (-14)
208,1987-12-29,39,.432,L (-10)
209,1988-01-02,25,.474,W (+23)
210,1988-01-05,31,.600,W (+16)
211,1988-01-07,28,.500,W (+4)
212,1988-01-09,45,.739,W (+22)
213,1988-01-12,42,.543,L (-7)
214,1988-01-14,28,.500,L (-3)
215,1988-01-16,36,.462,W (+16)
216,1988-01-18,33,.684,W (+14)
217,1988-01-19,38,.636,L (-12)
218,1988-01-22,42,.680,W (+10)
219,1988-01-23,36,.684,W (+27)
220,1988-01-26,34,.500,L (-4)
221,1988-01-27,37,.571,W (+10)
222,1988-01-29,32,.778,W (+27)
223,1988-01-30,28,.588,W (+2)
224,1988-02-01,37,.419,L (-2)
225,1988-02-02,39,.538,L (-9)
226,1988-02-04,37,.519,W (+12)
227,1988-02-09,20,.318,L (-15)
228,1988-02-10,34,.435,L (-9)
229,1988-02-12,27,.474,W (+2)
230,1988-02-13,27,.409,L (-9)
231,1988-02-15,32,.591,W (+19)
232,1988-02-19,49,.704,W (+21)
233,1988-02-21,46,.516,L (-2)
234,1988-02-23,39,.379,W (+7)
235,1988-02-26,52,.618,L (-8)
236,1988-02-27,38,.593,L (-3)
237,1988-02-29,35,.591,L (-1)
238,1988-03-03,36,.517,W (+4)
239,1988-03-05,21,.692,W (+24)
240,1988-03-07,38,.500,L (-12)
241,1988-03-10,38,.500,W (+21)
242,1988-03-12,28,.409,W (+20)
243,1988-03-15,38,.586,W (+19)
244,1988-03-16,25,.435,L (-3)
245,1988-03-18,50,.594,W (+10)
246,1988-03-20,26,.556,L (-30)
247,1988-03-23,49,.571,W (+16)
248,1988-03-25,39,.483,W (+1)
249,1988-03-26,38,.593,W (+9)
250,1988-03-29,26,.471,L (-3)
251,1988-03-30,36,.600,W (+17)
252,1988-04-01,38,.433,W (+15)
253,1988-04-03,59,.778,W (+2)
254,1988-04-05,29,.600,L (-11)
255,1988-04-06,37,.545,W (+9)
256,1988-04-08,40,.542,W (+9)
257,1988-04-14,35,.429,W (+6)
258,1988-04-15,28,.550,W (+1)
259,1988-04-17,44,.586,W (+8)
260,1988-04-19,47,.667,W (+3)
261,1988-04-21,39,.515,L (-7)
262,1988-04-22,26,.462,L (-4)
263,1988-04-24,46,.640,W (+7)
264,1988-11-04,28,.526,L (-13)
265,1988-11-05,29,.429,W (+13)
266,1988-11-08,31,.619,L (-9)
267,1988-11-09,52,.545,W (+6)
268,1988-11-11,36,.583,W (+12)
269,1988-11-12,42,.548,L (-6)
270,1988-11-15,33,.519,W (+13)
271,1988-11-16,52,.828,L (-13)
272,1988-11-18,34,.571,W (+3)
273,1988-11-22,32,.800,W (+16)
274,1988-11-23,26,.467,L (-8)
275,1988-11-26,52,.704,L (-5)
276,1988-11-29,26,.458,L (-10)
277,1988-11-30,33,.440,L (-14)
278,1988-12-03,39,.516,W (+13)
279,1988-12-06,38,.700,W (+5)
280,1988-12-07,18,.250,L (-13)
281,1988-12-09,35,.588,W (+18)
282,1988-12-10,38,.560,W (+23)
283,1988-12-13,28,.458,L (-18)
284,1988-12-16,28,.455,W (+7)
285,1988-12-17,36,.480,W (+19)
