index,date,points,minutes
0,1984-10-26,16,40
1,1984-10-27,21,34
2,1984-10-29,37,34
3,1984-10-30,25,36
4,1984-11-01,17,33
5,1984-11-07,25,27
6,1984-11-08,33,33
7,1984-11-10,27,42
8,1984-11-13,45,43
9,1984-11-15,27,33
10,1984-11-17,16,44
11,1984-11-19,34,39
12,1984-11-21,35,42
13,1984-11-23,23,30
14,1984-11-24,30,41
15,1984-11-27,13,24
16,1984-11-29,22,30
17,1984-11-30,20,37
18,1984-12-02,20,42
19,1984-12-04,20,35
20,1984-12-07,21,43
21,1984-12-08,20,35
22,1984-12-11,27,37
23,1984-12-12,21,30
24,1984-12-14,34,44
25,1984-12-15,14,27
26,1984-12-18,18,45
27,1984-12-20,34,41
28,1984-12-22,32,35
29,1984-12-27,45,44
30,1984-12-29,21,39
31,1985-01-02,25,34
32,1985-01-04,22,38
33,1985-01-05,42,42
34,1985-01-09,36,42
35,1985-01-11,23,30
36,1985-01-12,24,36
37,1985-01-14,35,43
38,1985-01-16,27,44
39,1985-01-17,25,40
40,1985-01-19,38,41
41,1985-01-22,29,39
42,1985-01-25,22,37
43,1985-01-26,45,43
44,1985-01-29,26,38
45,1985-01-30,38,41
46,1985-02-01,31,37
47,1985-02-05,41,45
48,1985-02-07,23,38
49,1985-02-12,49,45
50,1985-02-15,17,37
51,1985-02-17,26,34
52,1985-02-19,16,30
53,1985-02-22,26,42
54,1985-02-23,38,32
55,1985-02-26,28,48
56,1985-02-27,24,35
57,1985-03-01,21,38
58,1985-03-03,37,41
59,1985-03-05,37,44
60,1985-03-06,33,42
61,1985-03-08,26,28
62,1985-03-09,28,38
63,1985-03-11,21,34
64,1985-03-12,32,39
65,1985-03-14,16,34
66,1985-03-15,27,42
67,1985-03-17,32,48
68,1985-03-19,31,42
69,1985-03-20,38,43
70,1985-03-23,20,43
71,1985-03-24,26,35
72,1985-03-26,38,40
73,1985-03-28,35,41
74,1985-03-30,38,42
75,1985-04-02,31,44
76,1985-04-03,25,40
77,1985-04-05,40,38
78,1985-04-06,33,43
79,1985-04-08,22,39
80,1985-04-12,28,36
81,1985-04-13,29,40
82,1985-10-25,29,39
83,1985-10-26,33,41
84,1985-10-29,12,18
85,1986-03-15,12,13
86,1986-03-17,17,14
87,1986-03-19,12,15
88,1986-03-21,20,16
89,1986-03-22,8,16
90,1986-03-25,19,19
91,1986-03-28,22,22
92,1986-03-29,24,23
93,1986-04-01,28,26
94,1986-04-03,26,28
95,1986-04-05,30,31
96,1986-04-07,26,31
97,1986-04-08,30,33
98,1986-04-11,31,37
99,1986-04-13,29,29
100,1986-11-01,50,41
101,1986-11-02,41,39
102,1986-11-04,34,44
103,1986-11-07,33,42
104,1986-11-08,39,39
105,1986-11-11,34,39
106,1986-11-12,28,39
107,1986-11-14,48,41
108,1986-11-21,40,40
109,1986-11-22,22,39
110,1986-11-26,37,41
111,1986-11-28,41,45
112,1986-11-29,40,42
113,1986-12-02,40,48
114,1986-12-03,45,40
115,1986-12-05,43,41
116,1986-12-06,43,44
117,1986-12-09,40,42
118,1986-12-10,41,39
119,1986-12-12,41,39
120,1986-12-13,11,31
121,1986-12-16,41,37
122,1986-12-18,41,39
123,1986-12-20,27,38
124,1986-12-23,43,35
125,1986-12-25,30,41
126,1986-12-27,44,36
127,1986-12-30,31,40
128,1987-01-02,34,40
129,1987-01-03,47,38
130,1987-01-06,27,38
131,1987-01-08,53,43
132,1987-01-10,31,36
133,1987-01-15,43,43
134,1987-01-17,47,44
135,1987-01-19,32,41
136,1987-01-20,31,39
137,1987-01-23,35,37
138,1987-01-24,27,27
139,1987-01-27,30,40
140,1987-01-28,27,37
141,1987-01-30,49,41
142,1987-02-01,38,44
143,1987-02-03,32,43
144,1987-02-05,36,44
145,1987-02-10,29,41
146,1987-02-13,45,41
147,1987-02-14,33,37
148,1987-02-16,43,48
149,1987-02-20,33,40
150,1987-02-22,43,39
151,1987-02-24,34,42
152,1987-02-26,58,37
153,1987-02-28,37,38
154,1987-03-01,30,39
155,1987-03-03,30,28
156,1987-03-04,61,43
157,1987-03-06,27,39
158,1987-03-08,33,44
159,1987-03-09,31,42
160,1987-03-11,49,44
161,1987-03-13,24,36
162,1987-03-14,13,47
163,1987-03-16,44,43
164,1987-03-17,21,42
165,1987-03-19,40,41
166,1987-03-21,40,44
167,1987-03-22,46,43
168,1987-03-24,56,44
169,1987-03-26,40,43
170,1987-03-27,22,40
171,1987-03-29,33,40
172,1987-03-31,36,34
173,1987-04-01,26,41
174,1987-04-03,32,45
175,1987-04-04,31,35
176,1987-04-07,39,26
177,1987-04-10,34,50
178,1987-04-12,53,42
179,1987-04-13,50,41
180,1987-04-16,61,41
181,1987-04-17,17,25
182,1987-11-07,36,38
183,1987-11-10,29,42
184,1987-11-11,31,40
185,1987-11-13,36,35
186,1987-11-14,37,40
187,1987-11-17,26,36
188,1987-11-18,30,40
189,1987-11-20,33,40
190,1987-11-21,49,44
191,1987-11-23,31,41
192,1987-11-25,33,39
193,1987-11-27,25,45
194,1987-11-28,34,41
195,1987-12-01,16,40
196,1987-12-02,47,39
197,1987-12-04,23,35
198,1987-12-05,40,40
199,1987-12-08,33,42
200,1987-12-10,32,40
201,1987-12-12,44,40
