index,date,points
0,1996-11-03,0
1,1996-11-05,1
2,1996-11-06,5
3,1996-11-08,10
4,1996-11-10,2
5,1996-11-12,2
6,1996-11-13,6
7,1996-11-15,4
8,1996-11-17,16
9,1996-11-19,3
10,1996-11-20,11
11,1996-11-26,12
12,1996-11-27,2
13,1996-11-29,1
14,1996-12-01,2
15,1996-12-04,8
16,1996-12-08,11
17,1996-12-10,0
18,1996-12-17,5
19,1996-12-18,0
20,1996-12-21,5
21,1996-12-25,0
22,1996-12-29,0
23,1997-01-02,4
24,1997-01-03,21
25,1997-01-05,16
26,1997-01-06,8
27,1997-01-08,9
28,1997-01-10,2
29,1997-01-14,2
30,1997-01-18,21
31,1997-01-20,6
32,1997-01-24,17
33,1997-01-26,7
34,1997-01-28,12
35,1997-01-29,19
36,1997-02-02,13
37,1997-02-04,6
38,1997-02-05,5
39,1997-02-12,2
40,1997-02-13,9
41,1997-02-16,0
42,1997-02-19,10
43,1997-02-21,2
44,1997-02-23,0
45,1997-02-28,0
46,1997-03-02,10
47,1997-03-04,0
48,1997-03-07,8
49,1997-03-09,12
50,1997-03-12,18
51,1997-03-14,16
52,1997-03-16,10
53,1997-03-17,8
54,1997-03-20,0
55,1997-03-21,0
56,1997-03-23,8
57,1997-03-24,6
58,1997-03-26,19
59,1997-03-27,20
60,1997-04-01,9
61,1997-04-02,6
62,1997-04-04,15
63,1997-04-06,13
64,1997-04-08,24
65,1997-04-09,11
66,1997-04-11,7
67,1997-04-13,12
68,1997-04-17,3
69,1997-04-18,5
70,1997-04-20,2
71,1997-10-31,23
72,1997-11-04,4
73,1997-11-07,4
74,1997-11-09,25
75,1997-11-16,11
76,1997-11-18,19
77,1997-11-19,20
78,1997-11-23,24
79,1997-11-25,16
80,1997-11-26,14
81,1997-11-28,19
82,1997-11-30,6
83,1997-12-03,10
84,1997-12-05,17
85,1997-12-07,21
86,1997-12-08,19
87,1997-12-10,20
88,1997-12-12,27
89,1997-12-14,30
90,1997-12-16,19
91,1997-12-17,33
92,1997-12-19,19
93,1997-12-20,13
94,1997-12-22,19
95,1997-12-26,16
96,1997-12-28,17
97,1997-12-30,12
98,1998-01-02,12
99,1998-01-04,20
100,1998-01-06,16
101,1998-01-07,17
102,1998-01-09,15
103,1998-01-11,6
104,1998-01-14,14
105,1998-01-17,21
106,1998-01-19,16
107,1998-01-21,25
108,1998-01-24,18
109,1998-01-28,26
110,1998-01-30,22
111,1998-02-01,20
112,1998-02-04,26
113,1998-02-10,17
114,1998-02-11,11
115,1998-02-13,15
116,1998-02-15,18
117,1998-02-18,8
118,1998-02-19,21
119,1998-02-22,18
120,1998-02-24,12
121,1998-02-25,8
122,1998-02-27,14
123,1998-03-01,14
124,1998-03-02,4
125,1998-03-04,15
126,1998-03-06,7
127,1998-03-08,4
128,1998-03-11,13
129,1998-03-12,6
130,1998-03-15,13
131,1998-03-16,0
132,1998-03-18,10
133,1998-03-20,16
134,1998-03-22,12
135,1998-03-23,23
136,1998-03-25,11
137,1998-03-28,2
138,1998-03-29,15
139,1998-03-31,17
140,1998-04-02,20
141,1998-04-03,7
142,1998-04-05,6
143,1998-04-08,14
144,1998-04-10,12
145,1998-04-11,10
146,1998-04-13,15
147,1998-04-14,19
148,1998-04-17,17
149,1998-04-19,25
150,1999-02-05,25
151,1999-02-07,16
152,1999-02-08,19
153,1999-02-10,21
154,1999-02-11,24
155,1999-02-14,18
156,1999-02-16,16
157,1999-02-17,23
158,1999-02-19,21
159,1999-02-21,23
160,1999-02-22,26
161,1999-02-23,11
162,1999-02-25,7
163,1999-02-26,22
164,1999-02-28,18
165,1999-03-01,10
166,1999-03-03,32
167,1999-03-05,20
168,1999-03-07,24
169,1999-03-09,16
170,1999-03-10,9
171,1999-03-12,18
172,1999-03-14,29
173,1999-03-16,21
174,1999-03-18,14
175,1999-03-19,23
176,1999-03-21,38
177,1999-03-22,21
178,1999-03-24,25
179,1999-03-26,26
180,1999-03-28,29
181,1999-03-29,20
182,1999-04-02,18
183,1999-04-03,17
184,1999-04-05,26
185,1999-04-06,15
186,1999-04-07,18
187,1999-04-09,18
188,1999-04-11,25
189,1999-04-13,20
190,1999-04-17,17
191,1999-04-19,17
192,1999-04-20,27
193,1999-04-21,22
194,1999-04-24,11
195,1999-04-26,9
196,1999-04-29,15
197,1999-05-02,28
198,1999-05-03,17
199,1999-05-05,11
200,1999-12-01,19
201,1999-12-03,23
202,1999-12-05,15
203,1999-12-07,21
204,1999-12-08,27
205,1999-12-11,14
206,1999-12-12,26
207,1999-12-14,18
208,1999-12-16,30
209,1999-12-17,28
210,1999-12-19,26
211,1999-12-20,27
212,1999-12-25,18
213,1999-12-27,25
214,1999-12-29,18
215,2000-01-04,29
216,2000-01-05,26
217,2000-01-07,13
218,2000-01-08,31
219,2000-01-10,30
220,2000-01-12,22
221,2000-01-14,18
222,2000-01-15,22
223,2000-01-17,15
224,2000-01-19,25
225,2000-01-22,28
226,2000-01-24,26
227,2000-01-28,23
228,2000-01-30,17
229,2000-02-01,19
230,2000-02-04,13
231,2000-02-07,29
232,2000-02-09,24
233,2000-02-15,21
234,2000-02-16,26
235,2000-02-18,11
236,2000-02-20,18
237,2000-02-22,21
238,2000-02-23,21
239,2000-02-25,17
240,2000-02-27,31
241,2000-02-29,22
242,2000-03-01,27
243,2000-03-03,22
244,2000-03-05,15
245,2000-03-06,22
246,2000-03-09,30
247,2000-03-12,40
248,2000-03-13,22
249,2000-03-16,7
250,2000-03-17,25
251,2000-03-19,24
252,2000-03-20,23
253,2000-03-22,18
254,2000-03-24,28
255,2000-03-26,24
256,2000-03-29,28
257,2000-03-31,10
258,2000-04-02,17
259,2000-04-05,16
260,2000-04-08,26
261,2000-04-10,33
262,2000-04-14,31
263,2000-04-16,25
264,2000-04-18,16
265,2000-04-19,23
266,2000-10-31,14
267,2000-11-01,31
268,2000-11-04,22
269,2000-11-05,21
270,2000-11-07,15
271,2000-11-08,32
272,2000-11-12,37
273,2000-11-14,31
274,2000-11-16,31
275,2000-11-18,32
276,2000-11-19,22
277,2000-11-22,31
278,2000-11-24,29
279,2000-11-27,29
280,2000-11-28,37
281,2000-11-30,17
282,2000-12-01,43
283,2000-12-03,38
284,2000-12-05,36
285,2000-12-06,51
286,2000-12-08,19
287,2000-12-10,26
288,2000-12-12,25
289,2000-12-13,35
290,2000-12-15,17
291,2000-12-17,40
292,2000-12-19,23
293,2000-12-21,45
294,2000-12-22,35
295,2000-12-25,29
296,2000-12-28,38
297,2000-12-30,17
298,2001-01-03,31
299,2001-01-07,27
300,2001-01-12,32
301,2001-01-13,27
302,2001-01-15,26
303,2001-01-19,29
304,2001-01-21,34
305,2001-01-23,21
306,2001-01-26,26
307,2001-01-28,33
