index,date,points,fgp
0,2003-10-29,25,.600
1,2003-10-30,21,.471
2,2003-11-01,8,.250
3,2003-11-05,7,.273
4,2003-11-07,23,.444
5,2003-11-08,17,.421
6,2003-11-10,17,.583
7,2003-11-12,18,.400
8,2003-11-14,10,.250
9,2003-11-15,22,.526
10,2003-11-18,14,.375
11,2003-11-19,28,.556
12,2003-11-21,19,.421
13,2003-11-22,15,.188
14,2003-11-26,15,.294
15,2003-11-28,6,.250
16,2003-11-29,33,.500
17,2003-12-02,19,.316
18,2003-12-03,4,.154
19,2003-12-06,8,.333
20,2003-12-09,18,.438
21,2003-12-11,23,.381
22,2003-12-13,37,.500
23,2003-12-15,27,.625
24,2003-12-17,17,.368
25,2003-12-19,36,.583
26,2003-12-20,32,.500
27,2003-12-23,22,.318
28,2003-12-25,34,.464
29,2003-12-26,18,.292
30,2003-12-28,32,.652
31,2003-12-30,22,.450
32,2004-01-02,14,.316
33,2004-01-06,14,.353
34,2004-01-07,21,.435
35,2004-01-09,19,.368
36,2004-01-12,16,.300
37,2004-01-13,27,.423
38,2004-01-15,29,.381
39,2004-01-17,29,.429
40,2004-01-26,16,.368
41,2004-01-28,27,.400
42,2004-01-30,20,.280
43,2004-02-01,38,.519
44,2004-02-03,12,.263
45,2004-02-04,32,.462
46,2004-02-06,14,.333
47,2004-02-07,14,.375
48,2004-02-09,24,.360
49,2004-02-11,9,.154
50,2004-02-18,16,.500
51,2004-02-20,32,.609
52,2004-02-22,22,.350
53,2004-02-23,21,.438
54,2004-02-25,11,.278
55,2004-02-27,30,.579
56,2004-03-01,18,.412
57,2004-03-03,24,.529
58,2004-03-05,19,.412
59,2004-03-06,24,.458
60,2004-03-08,34,.478
61,2004-03-10,14,.308
62,2004-03-14,26,.545
63,2004-03-16,17,.313
64,2004-03-19,14,.286
65,2004-03-21,15,.294
66,2004-03-23,25,.381
67,2004-03-26,16,.385
68,2004-03-27,41,.517
69,2004-03-29,18,.450
70,2004-03-30,28,.591
71,2004-04-02,20,.474
72,2004-04-03,34,.429
73,2004-04-06,21,.294
74,2004-04-07,14,.364
75,2004-04-09,24,.429
76,2004-04-10,10,.364
77,2004-04-12,27,.450
78,2004-04-14,17,.471
79,2004-11-03,28,.421
80,2004-11-04,21,.409
81,2004-11-06,31,.400
82,2004-11-09,25,.471
83,2004-11-10,38,.542
84,2004-11-13,24,.500
85,2004-11-15,33,.545
86,2004-11-18,19,.571
87,2004-11-20,25,.550
88,2004-11-21,13,.333
89,2004-11-24,43,.682
90,2004-11-26,20,.692
91,2004-11-27,26,.647
92,2004-11-29,22,.474
93,2004-12-01,15,.316
94,2004-12-02,17,.471
95,2004-12-04,27,.588
96,2004-12-07,27,.500
97,2004-12-08,19,.333
98,2004-12-11,23,.526
99,2004-12-13,31,.636
100,2004-12-15,25,.556
101,2004-12-16,11,.190
102,2004-12-18,31,.480
103,2004-12-21,26,.556
104,2004-12-22,23,.389
105,2004-12-26,22,.438
106,2004-12-28,40,.520
107,2004-12-29,3,.000
108,2005-01-03,26,.579
109,2005-01-05,20,.500
110,2005-01-08,22,.714
111,2005-01-11,29,.458
112,2005-01-13,28,.462
113,2005-01-15,27,.450
114,2005-01-16,35,.467
115,2005-01-19,27,.688
116,2005-01-20,18,.474
117,2005-01-22,28,.542
118,2005-01-24,31,.462
119,2005-01-26,27,.625
