index,date,points
0,1959-10-24,43
1,1959-10-31,36
2,1959-11-04,41
3,1959-11-07,30
4,1959-11-08,32
5,1959-11-10,39
6,1959-11-11,41
7,1959-11-12,55
8,1959-11-14,28
9,1959-11-15,26
10,1959-11-20,24
11,1959-11-21,28
12,1959-11-22,37
13,1959-11-25,45
14,1959-11-26,49
15,1959-11-28,28
16,1959-11-29,33
17,1959-12-03,41
18,1959-12-04,39
19,1959-12-05,20
20,1959-12-09,39
21,1959-12-10,34
22,1959-12-12,22
23,1959-12-13,36
24,1959-12-15,38
25,1959-12-16,43
26,1959-12-19,30
27,1959-12-25,45
28,1959-12-26,39
29,1959-12-28,39
30,1959-12-30,45
31,1960-01-02,47
32,1960-01-05,52
33,1960-01-06,27
34,1960-01-07,44
35,1960-01-09,48
36,1960-01-10,35
37,1960-01-12,37
38,1960-01-13,42
39,1960-01-15,44
40,1960-01-17,43
41,1960-01-19,30
42,1960-01-20,33
43,1960-01-23,44
44,1960-01-24,30
45,1960-01-25,58
46,1960-01-27,43
47,1960-01-29,43
48,1960-01-30,45
49,1960-01-31,41
50,1960-02-01,23
51,1960-02-02,34
52,1960-02-04,43
53,1960-02-06,44
54,1960-02-07,38
55,1960-02-09,41
56,1960-02-10,5
57,1960-02-14,25
58,1960-02-16,44
59,1960-02-17,33
60,1960-02-18,33
61,1960-02-20,41
62,1960-02-21,58
63,1960-02-23,53
64,1960-02-25,39
65,1960-02-27,34
66,1960-02-28,23
67,1960-03-02,39
68,1960-03-03,41
69,1960-03-04,42
70,1960-03-06,32
71,1960-03-09,31
72,1960-10-22,42
73,1960-10-28,29
74,1960-10-29,26
75,1960-11-01,33
76,1960-11-04,44
77,1960-11-05,32
78,1960-11-09,46
79,1960-11-10,22
80,1960-11-11,37
81,1960-11-12,42
82,1960-11-15,36
83,1960-11-16,41
84,1960-11-17,45
85,1960-11-18,34
86,1960-11-19,40
87,1960-11-24,34
88,1960-11-26,46
89,1960-11-27,41
90,1960-11-28,43
91,1960-11-29,44
92,1960-12-01,41
93,1960-12-03,35
94,1960-12-06,31
95,1960-12-08,46
96,1960-12-10,34
97,1960-12-11,31
98,1960-12-13,36
99,1960-12-14,30
100,1960-12-16,34
101,1960-12-18,32
102,1960-12-21,33
103,1960-12-26,30
104,1960-12-27,39
105,1960-12-29,27
106,1960-12-30,49
107,1961-01-02,56
108,1961-01-03,46
109,1961-01-05,56
110,1961-01-08,38
111,1961-01-12,37
112,1961-01-13,30
113,1961-01-14,44
114,1961-01-15,24
115,1961-01-18,48
116,1961-01-19,39
117,1961-01-21,56
118,1961-01-22,28
119,1961-01-24,16
120,1961-01-26,25
121,1961-01-27,24
122,1961-01-28,28
123,1961-01-29,46
124,1961-02-01,30
125,1961-02-02,45
126,1961-02-03,52
127,1961-02-05,55
128,1961-02-07,37
129,1961-02-08,42
130,1961-02-09,46
131,1961-02-10,48
132,1961-02-12,46
133,1961-02-15,28
134,1961-02-16,34
135,1961-02-17,27
136,1961-02-18,30
137,1961-02-21,39
138,1961-02-22,41
139,1961-02-23,49
140,1961-02-25,58
141,1961-02-26,34
142,1961-02-27,35
143,1961-02-28,32
144,1961-03-01,56
145,1961-03-03,47
146,1961-03-04,33
147,1961-03-05,47
148,1961-03-09,67
149,1961-03-10,32
150,1961-03-11,17
151,1961-10-19,48
152,1961-10-20,57
153,1961-10-21,53
154,1961-10-27,55
155,1961-10-28,43
156,1961-11-03,28
157,1961-11-04,58
158,1961-11-08,58
159,1961-11-09,55
160,1961-11-11,41
161,1961-11-14,34
162,1961-11-15,43
163,1961-11-17,56
164,1961-11-18,39
165,1961-11-19,51
166,1961-11-21,45
167,1961-11-23,31
168,1961-11-25,39
169,1961-11-28,39
170,1961-12-01,60
171,1961-12-02,37
172,1961-12-05,39
173,1961-12-06,39
174,1961-12-08,78
175,1961-12-09,61
176,1961-12-10,55
177,1961-12-12,54
178,1961-12-13,52
179,1961-12-14,43
180,1961-12-16,50
181,1961-12-19,57
182,1961-12-20,55
183,1961-12-25,59
184,1961-12-26,51
185,1961-12-27,53
186,1961-12-29,60
187,1961-12-30,41
188,1962-01-01,32
189,1962-01-03,36
190,1962-01-05,53
191,1962-01-07,55
192,1962-01-09,47
193,1962-01-10,39
194,1962-01-11,52
195,1962-01-13,73
196,1962-01-14,62
197,1962-01-17,62
198,1962-01-18,54
199,1962-01-19,53
200,1962-01-20,44
201,1962-01-21,62
202,1962-01-24,55
203,1962-01-26,47
204,1962-01-27,53
205,1962-01-28,50
206,1962-01-30,55
207,1962-02-01,53
208,1962-02-02,35
209,1962-02-03,41
210,1962-02-04,50
211,1962-02-08,59
212,1962-02-09,48
213,1962-02-10,38
214,1962-02-11,42
215,1962-02-13,65
216,1962-02-14,42
217,1962-02-16,48
218,1962-02-17,67
219,1962-02-20,48
220,1962-02-21,46
221,1962-02-22,61
222,1962-02-24,26
223,1962-02-25,67
224,1962-02-27,65
225,1962-02-28,61
226,1962-03-02,100
227,1962-03-04,58
228,1962-03-07,30
229,1962-03-11,44
230,1962-03-14,34
231,1962-10-23,56
232,1962-10-26,50
233,1962-10-27,46
234,1962-10-28,53
235,1962-10-30,59
236,1962-11-02,44
237,1962-11-03,72
238,1962-11-07,38
239,1962-11-09,54
240,1962-11-10,57
241,1962-11-13,45
242,1962-11-14,49
243,1962-11-16,73
244,1962-11-17,45
245,1962-11-18,59
246,1962-11-21,61
247,1962-11-23,53
248,1962-11-25,41
249,1962-11-27,37
250,1962-11-29,53
251,1962-12-02,59
252,1962-12-07,51
253,1962-12-08,39
254,1962-12-09,29
255,1962-12-11,61
256,1962-12-14,63
257,1962-12-15,24
258,1962-12-16,43
259,1962-12-18,61
260,1962-12-21,52
261,1962-12-22,39
262,1962-12-25,32
